"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0051223","GO:0051223","regulation of protein transport",439,0.568143821640789,2.72359230473379,1e-10,7.15402298850575e-10,1.65275257108288e-10,7086,"tags=53%, list=30%, signal=38%","CFTR/CYP51A1/BAD/CD38/ABCC8/TMEM132A/ARHGAP44/NOS2/RHBDF1/BAIAP3/NADK/TFAP2B/TENM1/MLXIPL/GIPR/SYT7/NR1H4/ALOX5/ISL1/ATP2C1/IGF1/RUFY3/NR1H3/EIPR1/CASR/CDH1/RIPOR1/TPR/ARHGEF5/NNAT/PHPT1/TM7SF3/SLC12A2/IPO5/SP100/NEO1/HYAL2/ACSL4/GRIPAP1/ERLEC1/VPS35/DRD4/TRPM5/PRKACA/SREBF1/DERL2/TSG101/SRI/PTPN23/FAM76B/SIRT6/PCM1/RAPGEF3/RFX3/PSEN1/HSP90AA1/AACS/C1QTNF3/GSK3B/XPO1/OXCT1/REST/DNAJA1/RBM22/ACHE/GNAO1/GNAS/DNM1L/GNA11/EDEM2/MAVS/DYNLL1/P2RX7/SLC8B1/SIRT4/ERP29/RAB11FIP3/RAPGEF4/CD200/SCFD1/TGFB2/TREM2/KCNK16/JAK2/DERL3/PPM1F/PICK1/XBP1/RHBDD3/EP300/RANGAP1/CHGA/PPM1A/HIF1A/PCK2/NFKBIA/HNF4A/FERMT1/TM9SF4/MYOM1/PGRMC1/EMD/CDK16/SYTL4/NDFIP2/PARD6A/STX4/CSK/RAB11A/ZDHHC2/ZFAND1/TRPA1/UBR5/ANXA13/KCNN4/OAZ1/TGFB1/CD33/PIK3R2/STX1A/GLI3/GCK/PPP3CB/SUFU/PRKAR1A/YWHAE/TMEM97/CWH43/NMU/ZPR1/HSPA8/OSBP/CPT1A/CD81/TCIRG1/EXPH5/PSMD9/IFNG/ADTRP/PPARD/OPRM1/MAPK14/RAB23/GPLD1/SNX3/EPM2A/TMEM30A/PRP4K/APBB3/HMGCR/PDE8B/IL12B/GOLPH3/SEC24A/SELENOK/PDCD10/ECT2/IL1A/SUMO1/PARK7/WLS/RAB29/P3H1/VAMP4/KLF7/TGFB3/GPR68/FKBP1B/SEC16B/ENY2/UFM1/SERP1/TARDBP/LYPLA1/GHSR/ACVR1C/PFKFB2/ACSL3/SOX4/BMP4/IL1B/FOXA2/ERGIC3/FFAR2/FFAR1/NR1D1/GNAI1/GNAZ/ADORA2A/SMO/SERGEF/RHBDF2/KCNA5/APOE/TRPM4/TRIM28/NR1H2/NDFIP1/NR0B2/PPARG/PER2/RAN/SNAP25/SYT4/XPO4/CHRM3/MYH10/BMAL1/IER3IP1/CAMK1/EDEM1/RSAD2/CLOCK/UBAC2/CD36/MDFIC/PRR5L/OS9/RAB11FIP5/MDM2/GCC2/LCP1/RAC1/IL6/BLK/DNAJC1/LRRC8A/TXN/TLR4/ANP32B/CCN3"
"GO:0051047","GO:0051047","positive regulation of secretion",320,0.582726861282965,2.71509771236012,1e-10,7.15402298850575e-10,1.65275257108288e-10,5595,"tags=43%, list=24%, signal=34%","FGR/CFTR/BAD/CD38/ABCC8/TMEM132A/TAC1/SCIN/BAIAP3/NADK/MLXIPL/GIPR/HFE/SYT7/NR1H4/ISL1/IGF1/GAB2/CASR/RAB27B/DTNBP1/SLC4A8/CYBA/NNAT/PHPT1/ATG5/SPHK2/TM7SF3/SLC12A2/SYT1/ACSL4/VPS35/GAL/PLA2G10/RAB27A/SCT/TRPM5/PRKACA/ABCB11/CLASP1/TSG101/TACR2/RAB7A/PTPN23/IL4R/SIRT6/FGFR1/EDN1/AACS/CADPS2/C1QTNF3/OPRK1/OXCT1/ACHE/DNM1L/GNA11/DYNLL1/P2RX7/RPH3A/RAPGEF4/UNC13D/TGFB2/TREM2/JAK2/STX1B/PLA2G3/XBP1/HIF1A/PCK2/NTSR1/OXT/MYOM1/GATA1/SYTL4/RGCC/PARD6A/SMPD3/STX4/TRPA1/KCNN4/RETN/TGFB1/CD33/RAB3D/RAB3A/STX1A/GHRHR/TFR2/GCK/CXCL12/PPP3CB/SLC6A4/PRKAR1A/NMU/OSBP/EXPH5/PSMD9/SYT10/IFNG/PPARD/GPLD1/APBB3/GOLPH3/SEC24A/SNX4/IL1A/TACR1/RAB3GAP1/SDC1/KISS1R/PLA2G4A/WLS/KMO/CD160/CREB1/MYB/VAMP8/SPP1/ECRG4/VPS4B/TGFB3/GPR68/TNFSF11/SERP1/NPPB/TARDBP/INHBA/RAB9A/PFKFB2/ACSL3/INHA/SDC4/EDN3/VAMP7/SOX4/IL1B/BMP2/FFAR2/FFAR1"
"GO:0030098","GO:0030098","lymphocyte differentiation",429,0.564877357633779,2.7062995250643,1e-10,7.15402298850575e-10,1.65275257108288e-10,7030,"tags=53%, list=30%, signal=38%","BAD/CYP26B1/SLC25A5/TMEM98/CD79B/PGLYRP1/ST3GAL1/CD4/BTK/CD74/RUNX3/NCAPH2/HMGB3/BAK1/HDAC9/TNFRSF9/ARID1B/FOXP3/RC3H2/TRAF3IP2/PRDM1/ATG5/AP3D1/SMARCD1/SPI1/KLF6/RHOA/PRKCZ/CBFB/HDAC4/BCL3/RORA/JMJD6/TCF3/FCGR2B/NFATC3/SMARCE1/TBX21/GLI2/FOSL2/ACTB/TPD52/ACTL6B/TOP2B/IL4R/ITM2A/CDH17/SMARCA2/TCF7/PTPRC/IL12RB2/SMARCD3/CYLD/BAX/LAG3/FLT3LG/PPP2R3C/TYRO3/MSH2/BLNK/IL11/JAK2/IL12RB1/ABL1/SMARCB1/MFNG/LGALS1/PATZ1/XBP1/FBXO7/EP300/SOS2/YY1/SMAD7/NKAP/CD40LG/TNFSF13B/AQP8/DNAJA3/RIPK2/SFRP1/IL7/CLPTM1/RELB/LYL1/IL4I1/TGFB1/CD79A/KDELR1/JAK3/PIK3R2/CDK6/LFNG/PHF14/EZH2/GLI3/TNFSF8/SHB/GATA3/VSIR/PPP3CB/LIPA/ZMIZ1/SMARCD2/KAT2A/HDAC5/FOXN1/IL2/ZBTB16/CRTAM/MDK/AMBRA1/TCIRG1/POU2AF1/CD69/IL23A/ITFG2/IFNG/PTPN6/AICDA/CD83/VNN1/SLC39A7/CCR6/SRF/ITK/IL12B/DROSHA/IL4/BCL6/CD86/TUSC2/FOXP1/IL1A/ZAP70/ITGA4/LOXL3/IL1RL2/IL18R1/ID2/SOS1/ATF2/LEPR/CD2/LGALS8/SLAMF1/PLA2G2D/GPR89B/CR2/CD46/PIK3R3/TNFSF4/ARID1A/STK11/KMT2A/MYB/FOXO3/SLC46A2/NKX2-3/TNFSF18/EGR1/PTK2B/TMEM131L/CD80/CCR2/FLT3/SASH3/LY9/INHBA/POLM/NCKAP1L/INHA/PREX1/PCK1/BTN2A2/SOX4/RUNX2/WNT1/GPR18/IRF1/BMP4/IL1B/TNFSF9/PCID2/CCR7/STAT5A/ZBTB1/BCL11B/SMARCA4/FGL2/DNAJB9/DLL4/RIPK3/FOXJ1/PHF10/CRACR2A/LILRB2/PRR7/NDFIP1/RARA/GPS2/AP3B1/SPINK5/MEN1/PTPN22/NOTCH2/RSAD2/IL6ST/IL2RA/IL15RA/DOCK2/KLRC1/ANXA1/CTSL/DTX1/TESPA1/RC3H1/DOCK10/USP44/IL6/KAT7/ACTL6A/HLX/IL10/IL36B/LRRC8A"
"GO:0010506","GO:0010506","regulation of autophagy",373,0.573054425479701,2.70457898618952,1e-10,7.15402298850575e-10,1.65275257108288e-10,4752,"tags=40%, list=20%, signal=33%","BAD/POLDIP2/SLC25A5/OSBPL7/PIK3C2A/DCN/UFL1/CAPN1/HGF/RB1CC1/RRAGD/ATP6V0A1/DAPK2/CLEC16A/PHF23/ATP6V1H/VPS13D/PIK3CB/CUL1/TAB2/USP36/ATG5/USP13/WNK1/LZTS1/CTSA/GNAI3/ELAVL1/KDM4A/ROCK1/TBC1D25/SIRT2/VPS35/NEDD4/WIPI1/CSNK2A2/PRKACA/SREBF1/USP33/GPR137B/UBE2A/LAMP3/PIK3C3/TIGAR/KEAP1/SESN1/MID2/DELE1/GSK3B/ULK2/RRAGB/ZMPSTE24/CTTN/ATG16L1/EIF2AK1/HUWE1/DNM1L/SNX5/SPTLC1/MUL1/EXOC1/RNF31/SCFD1/HDAC6/WAC/TREM2/SIRT1/ABL1/SH3GLB1/KLHL22/DEPDC5/XBP1/FBXO7/TOM1/HMOX1/TSPO/RBX1/EP300/ATP6V1D/SPTLC2/HIF1A/EEF1A2/TRIB3/CSNK2A1/MTMR8/PIM2/CDK16/MAPK3/NPRL3/USP10/TSC2/SLC7A5/STUB1/MEFV/PYCARD/KAT8/HERC1/BMF/RIPK2/MTMR9/BNIP3L/SNRNP70/CDC37/RASIP1/PIK3R2/FKBP8/GSK3A/MET/NOD1/HSPB1/RHEB/MAPK8/CCNY/CRYBA1/CDK5RAP3/FBXW7/ATG2A/EIF4G2/IL10RA/AMBRA1/CAMKK2/IFNG/GAPDH/FBXL4/EPM2A/TFEB/DAP/IL4/TRIM23/CSNK1A1/ATP6V0E1/NPRL2/SNX4/ATP6V1A/EIF4G1/HTRA2/RAB3GAP1/ATP6V1B1/TMEM59/QSOX1/PARK7/ELAPOR1/LEPR/EXOC8/RRAGC/ATP6V0B/STK11/ATF6/FOXO3/RAB3GAP2/TRIM32"
"GO:1903829","GO:1903829","positive regulation of protein localization",449,0.559984717123912,2.69555702624611,1e-10,7.15402298850575e-10,1.65275257108288e-10,7218,"tags=52%, list=30%, signal=37%","CFTR/BAD/CD38/CREBBP/ITGA3/ABCC8/TMEM132A/AP2B1/MARK4/BAIAP3/NADK/TENM1/MLXIPL/GIPR/FYN/TYROBP/NR1H4/ISL1/ATP2C1/IGF1/RUFY3/WWTR1/PRKCH/CENPQ/PIAS1/CASR/CDH1/RIPOR1/EPHA3/DSG2/TPR/ARHGEF5/NNAT/PHPT1/CROCC/ATP2B4/TM7SF3/NGFR/ABCA7/IPO5/HYAL2/ACSL4/VPS35/TRPM5/PRKACA/TFRC/FERMT2/TSG101/DLG1/PTPN23/SIRT6/GPR137B/EDN1/PCM1/RAPGEF3/EPB41L2/PSEN1/HSP90AA1/PKP1/AACS/C1QTNF3/GSK3B/OXCT1/CYLD/SSH1/RBM22/ACHE/DNM1L/GNA11/EDEM2/MAVS/DYNLL1/P2RX7/MCOLN1/RAPGEF4/EZR/TGFB2/SORBS1/TREM2/HSP90AB1/JAK2/ZDHHC8/CRKL/CARD10/XBP1/EP300/PPM1A/HIF1A/VRK1/PCK2/TM9SF4/MYOM1/PGRMC1/EMD/SYTL4/PARD6A/NECAB2/STX4/RAB11A/ZDHHC2/ZFAND1/TRPA1/UBR5/ANXA13/KCNN4/OAZ1/CLIP3/TGFB1/CD33/TYK2/PIK3R2/AGR2/GLI3/GCK/TESK1/ABHD17B/DVL1/RAB11FIP2/PPP3CB/CDK5RAP3/PPP1R9B/PRKAR1A/YWHAE/RANGRF/TMEM97/NMU/ZPR1/OSBP/CD81/EXPH5/PSMD9/IFNG/NEDD9/PPARD/MAPK14/GPLD1/TMEM30A/VEGFA/PRP4K/APBB3/GOLPH3/SEC24A/AMOTL2/UBE3A/PDCD10/WNT5A/ECT2/EIF4G1/IL1A/SPTBN1/RTN4/CCDC88A/CCT4/PARK7/WLS/RAB29/MESD/STK11/TGFB3/GPR68/SEC16B/TCP1/SERP1/PLS1/TARDBP/PIK3CA/GPSM2/RAMP3/LRP1/TNFAIP6/PFKFB2/RAB38/ACSL3/SOX4/BMP4/IL1B/ERGIC3/CEP250/FFAR2/FFAR1/GLIS2/TMEM35A/VIL1/GNAI1/MGAT3/ADORA2A/SMO/ABHD17A/GNL3L/APOE/TRPM4/TRIM28/ARHGEF16/SESN2/NR1H2/NR0B2/LGALS3/PPARG/RAN/PRKAA1/SYT11/XPO4/CHRM3/MYH10/EPHB2/IER3IP1/CAMK1/EDEM1/LAMTOR5/ROCK2/LRP4/DSG3/DZIP1/APC/CD36/PRR5L/CCT7/MDM2/RAC1/ABHD17C/NMT1/KAT7/BLK/LRRC8A/CDK9/TLR4/ANP32B/TLR2/NUMA1/SORL1/YAP1/RDX/CTDSPL2"
"GO:1904951","GO:1904951","positive regulation of establishment of protein localization",327,0.576824004546258,2.68793438256082,1e-10,7.15402298850575e-10,1.65275257108288e-10,4968,"tags=39%, list=21%, signal=31%","CFTR/BAD/CD38/ABCC8/TMEM132A/BAIAP3/NADK/TENM1/MLXIPL/GIPR/FYN/NR1H4/ISL1/ATP2C1/IGF1/RUFY3/CASR/CDH1/RIPOR1/TPR/ARHGEF5/NNAT/PHPT1/USP36/TM7SF3/IPO5/HYAL2/ACSL4/VPS35/CSNK2A2/TRPM5/PRKACA/TSG101/PTPN23/SIRT6/PCM1/RAPGEF3/PSEN1/HSP90AA1/AACS/C1QTNF3/GSK3B/OXCT1/RBM22/HUWE1/ACHE/DNM1L/GNA11/EDEM2/MAVS/DYNLL1/P2RX7/RAPGEF4/RNF31/TGFB2/TREM2/JAK2/SH3GLB1/HPS4/XBP1/MIEF1/EP300/GZMB/PPM1A/HIF1A/PCK2/TM9SF4/MYOM1/PGRMC1/EMD/SYTL4/PARD6A/STX4/CORO2B/CEMIP/ZDHHC2/ZFAND1/TRPA1/UBR5/ANXA13/KCNN4/OAZ1/AKT2/BBC3/TGFB1/CD33/PIK3R2/GSK3A/GLI3/GCK/MAPK8/PPP3CB/PRKAR1A/YWHAE/TMEM97/NMU/UBE2D3/FBXW7/ZPR1/OSBP/CD81/EXPH5/PSMD9/IFNG/C2CD5/PPARD/MAPK14/GPLD1/TMEM30A/PRP4K/APBB3/GOLPH3/SEC24A/PDCD10/ECT2/IL1A/HTRA2/RHOU/WLS/RAB29/ITGB1BP1/TGFB3/GPR68/SEC16B/TCP1/SERP1/TARDBP"
"GO:0051222","GO:0051222","positive regulation of protein transport",256,0.591961393777924,2.68586098681461,1e-10,7.15402298850575e-10,1.65275257108288e-10,4231,"tags=38%, list=18%, signal=32%","CFTR/BAD/CD38/ABCC8/TMEM132A/BAIAP3/NADK/TENM1/MLXIPL/GIPR/NR1H4/ISL1/ATP2C1/IGF1/RUFY3/CASR/CDH1/RIPOR1/TPR/ARHGEF5/NNAT/PHPT1/TM7SF3/IPO5/HYAL2/ACSL4/VPS35/TRPM5/PRKACA/TSG101/PTPN23/SIRT6/PCM1/RAPGEF3/PSEN1/HSP90AA1/AACS/C1QTNF3/GSK3B/OXCT1/RBM22/ACHE/DNM1L/GNA11/EDEM2/MAVS/DYNLL1/P2RX7/RAPGEF4/TGFB2/TREM2/JAK2/XBP1/EP300/PPM1A/HIF1A/PCK2/TM9SF4/MYOM1/PGRMC1/EMD/SYTL4/PARD6A/STX4/ZDHHC2/ZFAND1/TRPA1/UBR5/ANXA13/KCNN4/OAZ1/TGFB1/CD33/PIK3R2/GLI3/GCK/PPP3CB/PRKAR1A/YWHAE/TMEM97/NMU/ZPR1/OSBP/CD81/EXPH5/PSMD9/IFNG/PPARD/MAPK14/GPLD1/TMEM30A/PRP4K/APBB3/GOLPH3/SEC24A/PDCD10/ECT2/IL1A"
"GO:1903532","GO:1903532","positive regulation of secretion by cell",300,0.583606993355934,2.6846760155543,1e-10,7.15402298850575e-10,1.65275257108288e-10,5595,"tags=44%, list=24%, signal=34%","FGR/CFTR/BAD/CD38/ABCC8/TMEM132A/TAC1/BAIAP3/NADK/MLXIPL/GIPR/HFE/SYT7/NR1H4/ISL1/IGF1/GAB2/CASR/RAB27B/DTNBP1/SLC4A8/NNAT/PHPT1/SPHK2/TM7SF3/SLC12A2/SYT1/ACSL4/VPS35/GAL/PLA2G10/RAB27A/SCT/TRPM5/PRKACA/CLASP1/TSG101/TACR2/RAB7A/PTPN23/IL4R/SIRT6/FGFR1/EDN1/AACS/CADPS2/C1QTNF3/OPRK1/OXCT1/ACHE/DNM1L/GNA11/DYNLL1/P2RX7/RPH3A/RAPGEF4/UNC13D/TGFB2/TREM2/JAK2/STX1B/PLA2G3/HIF1A/PCK2/NTSR1/OXT/MYOM1/GATA1/SYTL4/RGCC/PARD6A/SMPD3/STX4/TRPA1/KCNN4/RETN/TGFB1/CD33/RAB3D/RAB3A/STX1A/GHRHR/TFR2/GCK/CXCL12/PPP3CB/SLC6A4/PRKAR1A/NMU/OSBP/EXPH5/PSMD9/SYT10/IFNG/PPARD/GPLD1/APBB3/GOLPH3/SEC24A/SNX4/IL1A/TACR1/RAB3GAP1/SDC1/KISS1R/PLA2G4A/WLS/KMO/CD160/CREB1/MYB/VAMP8/SPP1/ECRG4/VPS4B/TGFB3/GPR68/TNFSF11/SERP1/TARDBP/INHBA/RAB9A/PFKFB2/INHA/SDC4/EDN3/VAMP7/SOX4/IL1B/BMP2/FFAR2/FFAR1"
"GO:1990830","GO:1990830","cellular response to leukemia inhibitory factor",103,0.665577977691379,2.68383279522684,1e-10,7.15402298850575e-10,1.65275257108288e-10,4988,"tags=56%, list=21%, signal=45%","SLC25A5/PAX6/JARID2/GCLM/BCLAF1/SBNO2/PFKP/PLA2G10/TFRC/EED/XRCC5/RIF1/MYNN/SNX10/RFX2/ICAM1/SIRT1/XBP1/NEFH/SYNGR1/PMM1/GNPNAT1/MYBL2/RNMT/SMAD7/RNF125/MCF2/KLF5/BCAT2/POLR1F/TLE4/SPOCK2/TRIM2/PHC1/SRSF3/PDCD10/ADAM23/NCL/KDM3A/SRSF7/CACYBP/SRM/CTH/NR5A2/PADI2/KDM5B/NRP2/CREB1/MYB/WDR35/BSPRY/ABCD4/HELLS/TNFSF11/NFYB/TRIM25/TEX14/LRAT"
"GO:1990823","GO:1990823","response to leukemia inhibitory factor",105,0.666905518504711,2.67420796332672,1e-10,7.15402298850575e-10,1.65275257108288e-10,4988,"tags=56%, list=21%, signal=45%","SLC25A5/PAX6/JARID2/GCLM/BCLAF1/SBNO2/PFKP/PLA2G10/TFRC/EED/FOSL2/XRCC5/RIF1/MYNN/SNX10/RFX2/ICAM1/SIRT1/XBP1/NEFH/SYNGR1/PMM1/GNPNAT1/MYBL2/RNMT/SMAD7/RNF125/MCF2/KLF5/BCAT2/POLR1F/TLE4/SPOCK2/TRIM2/PHC1/SRSF3/PDCD10/ADAM23/NCL/KDM3A/SRSF7/CACYBP/SRM/CTH/NR5A2/PADI2/KDM5B/NRP2/CREB1/MYB/WDR35/BSPRY/ABCD4/HELLS/TNFSF11/NFYB/TRIM25/TEX14/LRAT"
