geo_accession	sample	cancer_type	disease
GSM4848811	A10N_S1	Adenoma	Normal
GSM4848812	A10T_S12	Adenoma	Tumor
GSM4848813	A12N_S23	Adenoma	Normal
GSM4848814	A14N_S45	Adenoma	Normal
GSM4848815	A14T_S56	Adenoma	Tumor
GSM4848816	A15N_S58	Adenoma	Normal
GSM4848817	A15T_S59	Adenoma	Tumor
GSM4848818	A18N-24_S60	Adenoma	Tumor
GSM4848819	A18T-24_S2	Adenoma	Tumor
GSM4848820	A1N_S3	Adenoma	Normal
GSM4848821	A1T_S4	Adenoma	Tumor
GSM4848822	A2N_S5	Adenoma	Normal
GSM4848823	A2T_S6	Adenoma	Tumor
GSM4848824	A3N_S7	Adenoma	Normal
GSM4848825	A3T_S8	Adenoma	Tumor
GSM4848826	A4N_S9	Adenoma	Normal
GSM4848827	A4T_S10	Adenoma	Tumor
GSM4848828	A5N_S11	Adenoma	Normal
GSM4848829	A5T_S13	Adenoma	Tumor
GSM4848830	A64N_S14	Adenoma	Normal
GSM4848831	A65T_S15	Adenoma	Tumor
GSM4848832	A6N_S16	Adenoma	Normal
GSM4848833	A6T_S17	Adenoma	Tumor
GSM4848834	A7N_S18	Adenoma	Normal
GSM4848835	A7T_S19	Adenoma	Tumor
GSM4848836	A8N_S20	Adenoma	Normal
GSM4848837	A8T_S21	Adenoma	Tumor
GSM4848838	A9N_S22	Adenoma	Normal
GSM4848839	A9T_S24	Adenoma	Tumor
GSM4848840	S10N_S25	Squamus	Normal
GSM4848841	S10T_S26	Squamus	Tumor
GSM4848842	S12N_S27	Squamus	Normal
GSM4848843	S12T_S28	Squamus	Tumor
GSM4848844	S13N_S29	Squamus	Normal
GSM4848845	S13T_S30	Squamus	Tumor
GSM4848846	S14N_S31	Squamus	Normal
GSM4848847	S14T_S32	Squamus	Tumor
GSM4848848	S15N_S33	Squamus	Normal
GSM4848849	S15T_S35	Squamus	Tumor
GSM4848850	S16N-12_S36	Squamus	Tumor
GSM4848851	S16T-11_S37	Squamus	Tumor
GSM4848852	S17N-4_S38	Squamus	Tumor
GSM4848853	S17T-3_S39	Squamus	Tumor
GSM4848854	S2N_S40	Squamus	Normal
GSM4848855	S2T_S41	Squamus	Tumor
GSM4848856	S3N_S42	Squamus	Normal
GSM4848857	S3T_S43	Squamus	Tumor
GSM4848858	S4N_S44	Squamus	Normal
GSM4848859	S4T_S46	Squamus	Tumor
GSM4848860	S5N_S47	Squamus	Normal
GSM4848861	S5T_S48	Squamus	Tumor
GSM4848862	S6N_S49	Squamus	Normal
GSM4848863	S6T_S50	Squamus	Tumor
GSM4848864	S7N_S51	Squamus	Normal
GSM4848865	S7T_S52	Squamus	Tumor
GSM4848866	S8N_S53	Squamus	Normal
GSM4848867	S8T_S54	Squamus	Tumor
GSM4848868	S9T_S57	Squamus	Tumor
